customer_id,name,age,signup_date,region,monthly_spend,email,is_active
1047,Customer_46,56.0,2023-05-19,West,193.85,customer46@example.com,yes
1063,Customer_62,52.0,2023-07-06,West,143.39,customer62@example.com,yes
1075,Customer_74,35.0,2023-08-11,North,128.35,customer74@example.com,0
1120,Customer_119,56.0,2023-12-24,West,222.36,customer119@example.com,Yes
1096,Customer_95,42.0,2023-10-13,,141.82,customer95@example.com,Yes
1104,Customer_103,24.0,2023-11-06,North,117.39,customer103@example.com,Yes
1092,Customer_91,35.0,2023-10-01,SOUTH,156.29,customer91@example.com,1
1011,Customer_10,28.0,2023-01-31,SOUTH,9999.99,customer10@example.com,Yes
1035,Customer_34,33.0,2023-04-13,SOUTH,,customer34@example.com,1
1033,Customer_32,59.0,2023-04-07,West,149.54,customer32@example.com,1
1131,Customer_130,41.0,2024-01-26,South,154.41,customer130@example.com,1
1039,Customer_38,61.0,2023-04-25,North,163.46,customer38@example.com,0
1084,Customer_83,32.0,2023-09-07,North,130.55,customer83@example.com,No
1115,Customer_114,52.0,2023-12-09,East,172.71,customer114@example.com,0
1006,Customer_5,25.0,2023-01-16,East,143.42,customer5@example.com,Yes
1028,Customer_27,,2023-03-23,SOUTH,196.88,customer27@example.com,yes
1024,Customer_23,19.0,2023-03-11,north,148.81,customer23@example.com,1
1068,Customer_67,57.0,2023-07-21,West,122.97,customer67@example.com,0
1010,Customer_9,40.0,2023-01-28,West,149.37,customer9@example.com,Yes
1002,Customer_1,69.0,2023-01-04,South,192.61,customer1@example.com,No
1101,Customer_100,62.0,2023-10-28,SOUTH,102.66,customer100@example.com,1
1109,Customer_108,25.0,2023-11-21,north,133.2,customer108@example.com,0
1137,Customer_136,44.0,2024-02-13,West,100.47,customer136@example.com,No
1088,Customer_87,57.0,2023-09-19,South,126.87,customer87@example.com,0
1099,Customer_98,46.0,2023-10-22,West,118.5,customer98@example.com,1
1146,Customer_145,22.0,2024-03-11,North,169.78,customer145@example.com,yes
1113,Customer_112,,2023-12-03,East,227.34,customer112@example.com,yes
1065,Customer_64,34.0,2023-07-12,SOUTH,152.73,customer64@example.com,No
1016,Customer_15,41.0,2023-02-15,West,,customer15@example.com,yes
1083,Customer_82,65.0,2023-09-04,north,145.71,customer82@example.com,No
1042,Customer_41,54.0,2023-05-04,North,130.99,customer41@example.com,0
1081,Customer_80,31.0,2023-08-29,West,216.55,customer80@example.com,1
1053,Customer_52,26.0,2023-06-06,North,108.98,customer52@example.com,Yes
1027,Customer_26,29.0,2023-03-20,north,,customer26@example.com,1
1077,Customer_76,61.0,2023-08-17,East,148.09,customer76@example.com,1
1044,Customer_43,24.0,2023-05-10,East,117.46,customer43@example.com,No
1025,Customer_24,38.0,2023-03-14,SOUTH,72.54,customer24@example.com,Yes
1005,Customer_4,60.0,2023-01-13,north,172.68,customer4@example.com,1
1119,Customer_118,59.0,2023-12-21,West,179.96,customer118@example.com,1
1133,Customer_132,52.0,2024-02-01,West,199.21,customer132@example.com,0
1050,Customer_49,42.0,2023-05-28,East,106.79,customer49@example.com,yes
1022,Customer_21,47.0,2023-03-05,,152.37,customer21@example.com,Yes
1071,Customer_70,23.0,2023-07-30,South,133.49,customer70@example.com,Yes
1004,Customer_3,32.0,2023-01-10,West,221.54,customer3@example.com,0
1148,Customer_147,31.0,2024-03-17,East,75.02,customer147@example.com,Yes
1031,Customer_30,66.0,2023-04-01,West,261.36,customer30@example.com,0
1004,Customer_3,32.0,2023-01-10,West,221.54,customer3@example.com,0
1122,Customer_121,45.0,2023-12-30,,139.16,customer121@example.com,Yes
1107,Customer_106,18.0,2023-11-15,East,130.75,customer106@example.com,1
1048,Customer_47,35.0,2023-05-22,,136.58,customer47@example.com,0
1116,Customer_115,52.0,2023-12-12,South,155.93,customer115@example.com,1
1014,Customer_13,53.0,2023-02-09,East,120.62,customer13@example.com,Yes
1089,Customer_88,38.0,2023-09-22,north,144.57,customer88@example.com,No
1009,Customer_8,,2023-01-25,,156.03,customer8@example.com,yes
1061,Customer_60,25.0,2023-06-30,SOUTH,102.67,customer60@example.com,Yes
1129,Customer_128,,2024-01-20,South,128.2,customer128@example.com,1
1002,Customer_1,69.0,2023-01-04,South,192.61,customer1@example.com,No
1058,Customer_57,64.0,2023-06-21,South,82.33,customer57@example.com,0
1023,Customer_22,55.0,2023-03-08,South,186.42,customer22@example.com,yes
1062,Customer_61,64.0,2023-07-03,North,169.8,customer61@example.com,No
1064,Customer_63,31.0,2023-07-09,North,122.51,customer63@example.com,No
1008,Customer_7,56.0,2023-01-22,West,72.62,customer7@example.com,Yes
1003,Customer_2,46.0,2023-01-07,,184.16,customer2@example.com,Yes
1087,Customer_86,,2023-09-16,SOUTH,120.69,customer86@example.com,0
1097,Customer_96,,2023-10-16,SOUTH,160.84,customer96@example.com,yes
1069,Customer_68,21.0,2023-07-24,West,113.46,customer68@example.com,yes
1051,Customer_50,31.0,2023-05-31,SOUTH,97.77,customer50@example.com,No
1140,Customer_139,52.0,2024-02-22,North,148.4,customer139@example.com,No
1102,Customer_101,18.0,2023-10-31,SOUTH,159.16,customer101@example.com,Yes
1021,Customer_20,unknown,2023-03-02,West,162.64,customer20@example.com,0
1026,Customer_25,50.0,2023-03-17,North,116.11,customer25@example.com,1
1135,Customer_134,57.0,2024-02-07,North,212.2,customer134@example.com,1
1072,Customer_71,59.0,2023-08-02,East,,customer71@example.com,1
1130,Customer_129,40.0,2024-01-23,SOUTH,99.3,customer129@example.com,No
1145,Customer_144,,2024-03-08,East,,customer144@example.com,1
1080,Customer_79,53.0,2023-08-26,South,,customer79@example.com,0
1134,Customer_133,61.0,2024-02-04,South,98.35,customer133@example.com,No
1138,Customer_137,52.0,2024-02-16,North,117.01,customer137@example.com,No
1073,Customer_72,21.0,2023-08-05,North,,customer72@example.com,Yes
1141,Customer_140,54.0,2024-02-25,SOUTH,171.18,customer140@example.com,1
1038,Customer_37,68.0,2023-04-22,West,72.23,customer37@example.com,1
